solution,source,composite_score,makespan_sec,total_completion_time_sec,avg_completion_time_sec,wait_spread_sec,recirculation_events,kate_objective,items_delivered,throughput_items_per_s,avg_gap_sec,same_belt_avg_gap_sec,diff_belt_avg_gap_sec,belt_balance_std,makespan_improvement_pct,composite_improvement_pct
Arkhan (SA),simulation,73.3,182.0,1190.5,108.2,163,0,91.5,36,,,,,,24.3,26.7
Arkhan (SOF),simulation,76.2,200.0,1144.5,104.0,181,0,73.0,36,,,,,,16.8,23.8
Jeevan (SA),simulation,69.7,186.5,1034.0,94.0,164,0,72.5,36,,,,,,22.5,30.3
Kate (SA),simulation,70.8,186.5,1072.5,97.5,164,0,59.0,36,,,,,,22.5,29.2
Liam (SA),simulation,73.3,182.0,1190.5,108.2,163,0,91.5,36,,,,,,24.3,26.7
Manjary (LPT),simulation,108.4,258.5,2203.0,200.3,120,0,77.0,36,,,,,,-7.5,-8.4
Naive baseline,simulation,100.0,240.5,1821.5,165.6,174,0,79.0,36,,,,,,0.0,0.0
Day1 Run A (SA) [SA],physical,,,162.5,,,,,30,0.1847,5.16,5.57,4.37,11.03,,
Day1 Run B (SA) [SA],physical,,,206.1,,,,,29,0.1407,6.71,5.00,8.68,0.96,,
Day2 Run A (SA) [SA],physical,,,167.2,,,,,28,0.1675,5.98,7.33,4.72,8.04,,
Day2 Run B (SOF) [SOF],physical,,,116.8,,,,,31,0.2654,3.72,2.86,4.58,1.71,,
