conv_num,shape_num,shape_name,time
1,6,pentagon,18.272325
1,6,pentagon,21.694021
1,8,moon,27.833656
1,8,moon,32.136293
2,6,pentagon,32.382827
1,6,pentagon,37.651987
3,8,moon,43.726694
2,4,star,44.007998
2,4,star,50.171228
1,6,pentagon,56.872572
1,8,moon,58.233042
4,7,trapezoid,63.955369
3,5,triangle,64.869656
3,5,triangle,68.418868
3,6,pentagon,75.975407
4,6,pentagon,83.884457
3,5,triangle,96.06369
3,5,triangle,99.463787
3,6,pentagon,106.500413
2,7,trapezoid,110.298862
2,4,star,118.450782
2,5,triangle,120.496092
2,5,triangle,123.48224
3,5,triangle,127.817637
2,5,triangle,152.522862
4,3,heart,187.199085
4,3,heart,190.927715
4,3,heart,199.400624
4,8,moon,206.145492
