conv_num,shape_num,shape_name,time
1,4,star,5.824266
1,4,star,10.22194
1,3,heart,14.516266
1,3,heart,31.514922
3,5,triangle,35.625356
1,3,heart,38.696978
3,5,triangle,38.747411
1,3,heart,44.354179
1,2,cross,48.515368
1,6,pentagon,70.41341
1,6,pentagon,72.986189
4,8,moon,73.435979
4,8,moon,73.758201
1,6,pentagon,76.2733
4,8,moon,78.530605
1,2,cross,79.231902
1,2,cross,83.623997
1,1,circle,92.195939
4,5,triangle,93.267341
1,5,triangle,97.764954
1,6,pentagon,101.873201
2,3,heart,113.477559
1,5,triangle,125.763521
2,2,cross,129.105577
2,2,cross,136.169027
1,7,trapezoid,150.663407
1,6,pentagon,162.897706
1,6,pentagon,167.154695
