conv_num,shape_num,shape_name,time
1,5,triangle,5.191581
1,5,triangle,9.753427
2,3,heart,20.250187
2,2,cross,26.822881
2,2,cross,29.657852
1,5,triangle,31.927696
2,5,triangle,42.490214
2,7,trapezoid,44.45367
1,8,moon,49.19708
1,8,moon,52.122495
1,8,moon,54.347849
2,6,pentagon,54.841843
3,4,star,54.994406
3,4,star,58.196384
3,3,heart,60.813865
2,5,triangle,63.73524
3,1,circle,73.017409
3,1,circle,75.826069
4,3,heart,85.886584
3,6,pentagon,89.269665
4,3,heart,89.561653
4,3,heart,90.59318
3,6,pentagon,91.32848
4,2,cross,93.99085
3,8,moon,94.796621
4,6,pentagon,104.628142
4,6,pentagon,106.61218
4,6,pentagon,108.717334
4,2,cross,111.392106
4,2,cross,114.561847
4,1,circle,116.788557
